"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"71";"Паркомат № 2071";"1774401";"Северный административный округ";"район Аэропорт";"улица Авиаконструктора Яковлева";"улица Авиаконструктора Яковлева, дом 27, корпус 2";"37.5198958";"55.8063024";"4014";"{type=Point, coordinates=[37.5198958305129, 55.8063020319805]}";
"72";"Паркомат № 2072";"1774402";"Центральный административный округ";"Пресненский район";"улица Пресненский Вал";"улица Пресненский Вал, дом 42";"37.571246";"55.771818";"3003";"{type=Point, coordinates=[37.5712460308215, 55.7718176319113]}";
"74";"Паркомат № 2074";"1774404";"Восточный административный округ";"район Перово";"Электродная улица";"Электродная улица, дом 6Б";"37.7525532";"55.7546569";"4044";"{type=Point, coordinates=[37.7525532309859, 55.7546565314935]}";
"75";"Паркомат № 2075";"1774405";"Восточный административный округ";"район Перово";"улица Плеханова";"улица Плеханова, дом 5";"37.758299";"55.756431";"4044";"{type=Point, coordinates=[37.7582990307123, 55.7564306316071]}";
"81";"Паркомат № 2081";"1774411";"Восточный административный округ";"район Соколиная Гора";"Гаражная улица";"Гаражная улица, дом 4";"37.7405369";"55.7587954";"4027";"{type=Point, coordinates=[37.7405369309809, 55.7587950314091]}";
"82";"Паркомат № 2082";"1774412";"Юго-Восточный административный округ";"район Лефортово";"Перовский проезд";"Перовский проезд, дом 2А";"37.7023235";"55.7441065";"4017";"{type=Point, coordinates=[37.7023235303564, 55.7441061312216]}";
"83";"Паркомат № 2083";"1774413";"Юго-Восточный административный округ";"район Марьино";"Люблинская улица";"Люблинская улица, дом 165";"37.745102";"55.65059";"4047";"{type=Point, coordinates=[37.745102030702, 55.6505896308315]}";
"88";"Паркомат № 2088";"1774418";"Центральный административный округ";"район Замоскворечье";"1-й Новокузнецкий переулок";"1-й Новокузнецкий переулок, напротив дома 11";"37.630958236771";"55.734991095588";"2009";"{type=Point, coordinates=[37.6309582673671, 55.7349907268422]}";
"90";"Паркомат № 2090";"1774420";"Западный административный округ";"район Дорогомилово";"площадь Дорогомиловская Застава";"площадь Дорогомиловская Застава, напротив дома 17";"37.555952";"55.747224";"3011";"{type=Point, coordinates=[37.5559520303807, 55.7472236314384]}";
"133";"Паркомат № 2133";"1774433";"Северо-Восточный административный округ";"район Марьина Роща";"Полковая улица";"Полковая улица, дом 3, строение 2";"37.606449";"55.798253";"4016";"{type=Point, coordinates=[37.6064490304249, 55.7982526318824]}";
"153";"Паркомат № 2153";"1774443";"Южный административный округ";"район Орехово-Борисово Северное";"Каширское шоссе";"Каширское шоссе, дом 104, корпус 1";"37.7156782";"55.613026";"4052";"{type=Point, coordinates=[37.7156782300521, 55.6130256306078]}";
"154";"Паркомат № 2154";"1774444";"Северо-Восточный административный округ";"Останкинский район";"1-я Останкинская улица";"1-я Останкинская улица, напротив дома 1, строение 2";"37.607313";"55.823607";"4022";"{type=Point, coordinates=[37.6073130310085, 55.8236066321589]}";
"161";"Паркомат № 2161";"1774451";"Центральный административный округ";"Пресненский район";"Малая Грузинская улица";"Малая Грузинская улица, дом 20/13, строение 1";"37.572142";"55.765245";"3003";"{type=Point, coordinates=[37.5721420311301, 55.7652446315216]}";
"101";"Паркомат № 2101";"1774460";"Юго-Восточный административный округ";"район Лефортово";"2-й Кабельный проезд";"2-й Кабельный проезд, дом 4";"37.7139669";"55.7496575";"4017";"{type=Point, coordinates=[37.7139669307233, 55.7496571313869]}";
"107";"Паркомат № 2107";"1774464";"Южный административный округ";"район Орехово-Борисово Южное";"Ореховый бульвар";"Ореховый бульвар, дом 18";"37.7276999";"55.6125049";"4053";"{type=Point, coordinates=[37.7276999307384, 55.6125045305172]}";
"109";"Паркомат № 2109";"1774466";"Юго-Восточный административный округ";"район Печатники";"Волгоградский проспект";"Волгоградский проспект, дом 42, корпус 13";"37.722094";"55.7106609";"4029";"{type=Point, coordinates=[37.722094030337, 55.710660531147]}";
"114";"Паркомат № 2114";"1774471";"Центральный административный округ";"Пресненский район";"улица Костикова";"улица Костикова, дом 3";"37.554761";"55.760881";"3003";"{type=Point, coordinates=[37.55476103054, 55.7608806319215]}";
"115";"Паркомат № 2115";"1774473";"Западный административный округ";"район Дорогомилово";"улица Генерала Ермолова";"улица Генерала Ермолова, дом 4";"37.5178277";"55.7347431";"4011";"{type=Point, coordinates=[37.5178277304271, 55.7347427315502]}";
"116";"Паркомат № 2116";"1774474";"Западный административный округ";"район Дорогомилово";"улица Кульнева";"улица Кульнева, напротив дома 3";"37.5221112";"55.7428684";"4011";"{type=Point, coordinates=[37.5221112303344, 55.7428680315961]}";
"117";"Паркомат № 2117";"1774476";"Западный административный округ";"район Дорогомилово";"улица Кульнева";"улица Кульнева, дом 34, строение 21";"37.5299728";"55.7417707";"4011";"{type=Point, coordinates=[37.5299728307762, 55.7417703315144]}";
"119";"Паркомат № 2119";"1774478";"Центральный административный округ";"Пресненский район";"Тишинская площадь";"Тишинская площадь, дом 6";"37.583786";"55.770374";"3003";"{type=Point, coordinates=[37.5837860306387, 55.7703736315174]}";
"121";"Паркомат № 2121";"1774480";"Западный административный округ";"район Крылатское";"Крылатская улица";"Крылатская улица, дом 15";"37.42708";"55.77035";"4062";"{type=Point, coordinates=[37.4270800314707, 55.7703496318211]}";
"125";"Паркомат № 2125";"1774484";"Центральный административный округ";"Пресненский район";"Малый Тишинский переулок";"Малый Тишинский переулок, дом 20";"37.578434";"55.770949";"3003";"{type=Point, coordinates=[37.5784340307931, 55.7709486316314]}";
"389";"Паркомат № 000058";"1774488";"Центральный административный округ";"Таганский район";"Китайгородский проезд";"Китайгородский проезд, дом 7";"37.633424";"55.7524787";"1108";"{type=Point, coordinates=[37.6334240305552, 55.7524783315788]}";
"484";"Паркомат № 001081";"1774493";"Центральный административный округ";"Басманный район";"Хохловский переулок";"Хохловский переулок, дом 15";"37.645216";"55.757348";"1007";"{type=Point, coordinates=[37.6452160302, 55.7573476315786]}";
"483";"Паркомат № 001082";"1774494";"Центральный административный округ";"Басманный район";"Хохловский переулок";"Хохловский переулок, дом 13";"37.643896";"55.756942";"1007";"{type=Point, coordinates=[37.6438960304545, 55.7569416316449]}";
"361";"Паркомат № 000063";"1774495";"Центральный административный округ";"Тверской район";"Биржевая площадь";"Биржевая площадь, дом 1";"37.62496";"55.755394";"1104";"{type=Point, coordinates=[37.6249600303244, 55.7553936315346]}";
"498";"Паркомат № 001080";"1774499";"Центральный административный округ";"Басманный район";"Большой Спасоглинищевский переулок";"Большой Спасоглинищевский переулок, дом 8, строение 8";"37.6354027777778";"55.7558222222222";"1107";"{type=Point, coordinates=[37.6354028080204, 55.755821853728]}";
"454";"Паркомат № 001083";"1774500";"Центральный административный округ";"Басманный район";"Старосадский переулок";"Старосадский переулок, дом 11";"37.639771";"55.755505";"1007";"{type=Point, coordinates=[37.6397710304636, 55.7555046314648]}";
"356";"Паркомат № 000056";"1774502";"Центральный административный округ";"Басманный район";"Большой Спасоглинищевский переулок";"Большой Спасоглинищевский переулок, дом 9";"37.636952";"55.7543";"1107";"{type=Point, coordinates=[37.6369520308726, 55.7542996316622]}";
"450";"Паркомат № 000030";"1774509";"Центральный административный округ";"Пресненский район";"Средний Кисловский переулок";"Средний Кисловский переулок, дом 4";"37.605415";"55.755798";"1103";"{type=Point, coordinates=[37.6054150308278, 55.7557976316591]}";
"360";"Паркомат № 001022";"1774514";"Центральный административный округ";"Басманный район";"Банковский переулок";"Банковский переулок, дом 1/7";"37.6350277777778";"55.76225";"1007";"{type=Point, coordinates=[37.6350278081147, 55.7622496317661]}";
"353";"Паркомат № 001036";"1774515";"Центральный административный округ";"Басманный район";"Архангельский переулок";"Архангельский переулок, дом 11/16";"37.6385";"55.762212";"1007";"{type=Point, coordinates=[37.6385000302362, 55.7622116314247]}";
"422";"Паркомат № 001049";"1774516";"Центральный административный округ";"Мещанский район";"Малый Кисельный переулок";"Малый Кисельный переулок, дом 4, строение 1";"37.626762";"55.7653";"1105";"{type=Point, coordinates=[37.6267620301343, 55.7652996318061]}";
"426";"Паркомат № 001055";"1774517";"Центральный административный округ";"Красносельский район";"Милютинский переулок";"Милютинский переулок, дом 14";"37.63203";"55.763416";"1106";"{type=Point, coordinates=[37.6320300303124, 55.7634156317205]}";
"404";"Паркомат № 001075";"1774518";"Центральный административный округ";"Басманный район";"Малый Трёхсвятительский переулок";"Малый Трёхсвятительский переулок, дом 1";"37.643145";"55.754705";"1007";"{type=Point, coordinates=[37.6431450307911, 55.7547046313826]}";
"175";"Паркомат № 2175";"1774521";"Северо-Западный административный округ";"район Щукино";"улица Маршала Бирюзова";"улица Маршала Бирюзова, дом 11";"37.4969387";"55.7918816";"4037";"{type=Point, coordinates=[37.4969387315653, 55.7918812320605]}";
"183";"Паркомат № 2183";"1774529";"Центральный административный округ";"Пресненский район";"улица Сергея Макеева";"улица Сергея Макеева, дом 15, строение 5";"37.553499";"55.766483";"3003";"{type=Point, coordinates=[37.5534990305402, 55.7664826314686]}";
"185";"Паркомат № 2185";"1774531";"Северо-Восточный административный округ";"район Марьина Роща";"Шереметьевская улица";"Шереметьевская улица, дом 5";"37.615998";"55.795266";"4016";"{type=Point, coordinates=[37.6159980302228, 55.7952656316581]}";
"190";"Паркомат № 2190";"1774536";"Центральный административный округ";"Пресненский район";"Большая Декабрьская улица";"Большая Декабрьская улица, дом 4";"37.55806";"55.766054";"3003";"{type=Point, coordinates=[37.5580600305136, 55.7660536318176]}";
"172";"Паркомат № 2172";"1774538";"Южный административный округ";"Нагорный район";"Варшавское шоссе";"Варшавское шоссе, дом 66";"37.6189443";"55.6598616";"4056";"{type=Point, coordinates=[37.6189443307141, 55.6598612308535]}";
"497";"Паркомат № 001084";"1774540";"Центральный административный округ";"Басманный район";"Потаповский переулок";"Потаповский переулок, дом 5";"37.640972";"55.761274";"1007";"{type=Point, coordinates=[37.6409720303934, 55.7612736315617]}";
"495";"Паркомат № 001079";"1774544";"Центральный административный округ";"Басманный район";"Петроверигский переулок";"Петроверигский переулок, дом 3";"37.638221";"55.756909";"1007";"{type=Point, coordinates=[37.6382210305685, 55.7569086314672]}";
"354";"Паркомат № 001035";"1774560";"Центральный административный округ";"Басманный район";"Архангельский переулок";"Архангельский переулок, дом 4";"37.6376138888889";"55.7606611111111";"1007";"{type=Point, coordinates=[37.6376139194643, 55.7606607426487]}";
"439";"Паркомат № 001037";"1774561";"Центральный административный округ";"Басманный район";"Потаповский переулок";"Потаповский переулок, дом 14";"37.641507";"55.759556";"1007";"{type=Point, coordinates=[37.6415070301406, 55.7595556315708]}";
"447";"Паркомат № 001038";"1774562";"Центральный административный округ";"Басманный район";"Сверчков переулок";"Сверчков переулок, дом 8";"37.639549";"55.760446";"1007";"{type=Point, coordinates=[37.6395490307155, 55.7604456316432]}";
